,Station,Arrive,Depart,Train,index
923,新橋,2021-11-30 07:37:00,2021-11-30 07:37:00,06-58-小田原-普通,7.0
2570,新橋,2021-11-30 07:38:00,2021-11-30 07:38:00,06-58-小田原-普通,7.5
924,品川,2021-11-30 07:43:00,2021-11-30 07:43:00,06-58-小田原-普通,8.0
2571,品川,2021-11-30 07:44:00,2021-11-30 07:44:00,06-58-小田原-普通,8.5
925,川崎,2021-11-30 07:53:00,2021-11-30 07:53:00,06-58-小田原-普通,9.0
926,横浜,2021-11-30 08:01:00,2021-11-30 08:01:00,06-58-小田原-普通,10.0
2572,横浜,2021-11-30 08:02:00,2021-11-30 08:02:00,06-58-小田原-普通,10.5
927,戸塚,2021-11-30 08:12:00,2021-11-30 08:12:00,06-58-小田原-普通,11.0
928,大船,2021-11-30 08:17:00,2021-11-30 08:17:00,06-58-小田原-普通,12.0
2573,大船,2021-11-30 08:18:00,2021-11-30 08:18:00,06-58-小田原-普通,12.5
929,藤沢,2021-11-30 08:22:00,2021-11-30 08:22:00,06-58-小田原-普通,13.0
2574,藤沢,2021-11-30 08:23:00,2021-11-30 08:23:00,06-58-小田原-普通,13.5
930,辻堂,2021-11-30 08:26:00,2021-11-30 08:26:00,06-58-小田原-普通,14.0
931,茅ケ崎,2021-11-30 08:30:00,2021-11-30 08:30:00,06-58-小田原-普通,15.0
932,平塚,2021-11-30 08:35:00,2021-11-30 08:35:00,06-58-小田原-普通,16.0
2575,平塚,2021-11-30 08:36:00,2021-11-30 08:36:00,06-58-小田原-普通,16.5
933,大磯,2021-11-30 08:39:00,2021-11-30 08:39:00,06-58-小田原-普通,17.0
934,二宮,2021-11-30 08:44:00,2021-11-30 08:44:00,06-58-小田原-普通,18.0
935,国府津,2021-11-30 08:48:00,2021-11-30 08:48:00,06-58-小田原-普通,19.0
2576,国府津,2021-11-30 08:49:00,2021-11-30 08:49:00,06-58-小田原-普通,19.5
936,鴨宮,2021-11-30 08:52:00,2021-11-30 08:52:00,06-58-小田原-普通,20.0
2577,鴨宮,2021-11-30 08:53:00,2021-11-30 08:53:00,06-58-小田原-普通,20.5
937,小田原,2021-11-30 08:56:00,,06-58-小田原-普通,21.0
19,大宮(埼玉),2021-11-30 07:02:00,2021-11-30 07:02:00,07-03-平塚-快速,0.0
20,浦和,2021-11-30 07:08:00,2021-11-30 07:08:00,07-03-平塚-快速,1.0
2083,浦和,2021-11-30 07:09:00,2021-11-30 07:09:00,07-03-平塚-快速,1.5
21,赤羽,2021-11-30 07:17:00,2021-11-30 07:17:00,07-03-平塚-快速,2.0
2084,赤羽,2021-11-30 07:18:00,2021-11-30 07:18:00,07-03-平塚-快速,2.5
22,池袋,2021-11-30 07:29:00,2021-11-30 07:29:00,07-03-平塚-快速,3.0
2085,池袋,2021-11-30 07:30:00,2021-11-30 07:30:00,07-03-平塚-快速,3.5
23,新宿,2021-11-30 07:35:00,2021-11-30 07:35:00,07-03-平塚-快速,4.0
2086,新宿,2021-11-30 07:36:00,2021-11-30 07:36:00,07-03-平塚-快速,4.5
24,渋谷,2021-11-30 07:41:00,2021-11-30 07:41:00,07-03-平塚-快速,5.0
2087,渋谷,2021-11-30 07:42:00,2021-11-30 07:42:00,07-03-平塚-快速,5.5
25,恵比寿,2021-11-30 07:44:00,2021-11-30 07:44:00,07-03-平塚-快速,6.0
26,大崎,2021-11-30 07:48:00,2021-11-30 07:48:00,07-03-平塚-快速,7.0
2088,大崎,2021-11-30 07:49:00,2021-11-30 07:49:00,07-03-平塚-快速,7.5
27,武蔵小杉,2021-11-30 07:57:00,2021-11-30 07:57:00,07-03-平塚-快速,8.0
28,横浜,2021-11-30 08:09:00,2021-11-30 08:09:00,07-03-平塚-快速,9.0
2089,横浜,2021-11-30 08:10:00,2021-11-30 08:10:00,07-03-平塚-快速,9.5
29,戸塚,2021-11-30 08:21:00,2021-11-30 08:21:00,07-03-平塚-快速,10.0
