,Station,Arrive,Depart,Train,index,Station_sequence
181,戸塚,2021-11-30 09:13:00,2021-11-30 09:13:00,07-52-平塚-快速,10.0,戸塚
182,大船,2021-11-30 09:18:00,2021-11-30 09:18:00,07-52-平塚-快速,11.0,大船
2175,大船,2021-11-30 09:19:00,2021-11-30 09:19:00,07-52-平塚-快速,11.5,大船
183,藤沢,2021-11-30 09:23:00,2021-11-30 09:23:00,07-52-平塚-快速,12.0,藤沢
184,辻堂,2021-11-30 09:26:00,2021-11-30 09:26:00,07-52-平塚-快速,13.0,辻堂
2176,辻堂,2021-11-30 09:27:00,2021-11-30 09:27:00,07-52-平塚-快速,13.5,辻堂
185,茅ケ崎,2021-11-30 09:30:00,2021-11-30 09:30:00,07-52-平塚-快速,14.0,茅ケ崎
186,平塚,2021-11-30 09:35:00,,07-52-平塚-快速,15.0,平塚
1167,大宮(埼玉),2021-11-30 08:02:00,2021-11-30 08:02:00,08-05-小田原-快速,0.0,大宮(埼玉)
1168,浦和,2021-11-30 08:12:00,2021-11-30 08:12:00,08-05-小田原-快速,1.0,浦和
2710,浦和,2021-11-30 08:13:00,2021-11-30 08:13:00,08-05-小田原-快速,1.5,浦和
1169,赤羽,2021-11-30 08:22:00,2021-11-30 08:22:00,08-05-小田原-快速,2.0,赤羽
1170,池袋,2021-11-30 08:33:00,2021-11-30 08:33:00,08-05-小田原-快速,3.0,尾久/池袋
2711,池袋,2021-11-30 08:34:00,2021-11-30 08:34:00,08-05-小田原-快速,3.5,尾久/池袋
1171,新宿,2021-11-30 08:39:00,2021-11-30 08:39:00,08-05-小田原-快速,4.0,上野/新宿
2712,新宿,2021-11-30 08:40:00,2021-11-30 08:40:00,08-05-小田原-快速,4.5,上野/新宿
1172,渋谷,2021-11-30 08:45:00,2021-11-30 08:45:00,08-05-小田原-快速,5.0,東京/渋谷
1173,恵比寿,2021-11-30 08:47:00,2021-11-30 08:47:00,08-05-小田原-快速,6.0,新橋/恵比寿
2713,恵比寿,2021-11-30 08:48:00,2021-11-30 08:48:00,08-05-小田原-快速,6.5,新橋/恵比寿
1174,大崎,2021-11-30 08:52:00,2021-11-30 08:52:00,08-05-小田原-快速,7.0,品川/大崎
1175,武蔵小杉,2021-11-30 09:01:00,2021-11-30 09:01:00,08-05-小田原-快速,8.0,川崎/武蔵小杉
