,Unnamed: 0,Station,Arrive,Depart,Train,index,Station_sequence
187,933,大磯,2021-11-30 01:43:00,2021-11-30 08:39:00,06-58-小田原-普通,17.0,大磯
188,934,二宮,2021-11-30 01:48:00,2021-11-30 08:44:00,06-58-小田原-普通,18.0,二宮
189,935,国府津,2021-11-30 01:52:00,2021-11-30 08:48:00,06-58-小田原-普通,19.0,国府津
190,2576,国府津,2021-11-30 01:53:00,2021-11-30 08:49:00,06-58-小田原-普通,19.5,国府津
191,936,鴨宮,2021-11-30 01:56:00,2021-11-30 08:52:00,06-58-小田原-普通,20.0,鴨宮
192,2577,鴨宮,2021-11-30 01:57:00,2021-11-30 08:53:00,06-58-小田原-普通,20.5,鴨宮
193,937,小田原,2021-11-30 02:00:00,,06-58-小田原-普通,21.0,小田原
194,297,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 07:08:00,07-10-品川-普通,0.0,大宮(埼玉)
195,298,さいたま新都心,2021-11-30 00:04:00,2021-11-30 07:12:00,07-10-品川-普通,1.0,さいたま新都心
196,2241,さいたま新都心,2021-11-30 00:05:00,2021-11-30 07:13:00,07-10-品川-普通,1.5,さいたま新都心
197,299,浦和,2021-11-30 00:09:00,2021-11-30 07:17:00,07-10-品川-普通,2.0,浦和
198,300,赤羽,2021-11-30 00:18:00,2021-11-30 07:26:00,07-10-品川-普通,3.0,赤羽
199,301,尾久,2021-11-30 00:23:00,2021-11-30 07:31:00,07-10-品川-普通,4.0,尾久/池袋
200,2242,尾久,2021-11-30 00:24:00,2021-11-30 07:32:00,07-10-品川-普通,4.5,尾久/池袋
201,302,上野,2021-11-30 00:30:00,2021-11-30 07:38:00,07-10-品川-普通,5.0,上野/新宿
202,2243,上野,2021-11-30 00:31:00,2021-11-30 07:39:00,07-10-品川-普通,5.5,上野/新宿
203,303,東京,2021-11-30 00:36:00,2021-11-30 07:44:00,07-10-品川-普通,6.0,東京/渋谷
204,2244,東京,2021-11-30 00:37:00,2021-11-30 07:45:00,07-10-品川-普通,6.5,東京/渋谷
205,304,新橋,2021-11-30 00:39:00,2021-11-30 07:47:00,07-10-品川-普通,7.0,新橋/恵比寿
206,2245,新橋,2021-11-30 00:40:00,2021-11-30 07:48:00,07-10-品川-普通,7.5,新橋/恵比寿
207,305,品川,2021-11-30 00:46:00,,07-10-品川-普通,8.0,品川/大崎
208,780,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 07:14:00,07-15-上野-普通,0.0,大宮(埼玉)
209,781,さいたま新都心,2021-11-30 00:03:00,2021-11-30 07:17:00,07-15-上野-普通,1.0,さいたま新都心
210,2501,さいたま新都心,2021-11-30 00:04:00,2021-11-30 07:18:00,07-15-上野-普通,1.5,さいたま新都心
211,782,浦和,2021-11-30 00:08:00,2021-11-30 07:22:00,07-15-上野-普通,2.0,浦和
212,783,赤羽,2021-11-30 00:17:00,2021-11-30 07:31:00,07-15-上野-普通,3.0,赤羽
213,784,尾久,2021-11-30 00:22:00,2021-11-30 07:36:00,07-15-上野-普通,4.0,尾久/池袋
214,2502,尾久,2021-11-30 00:23:00,2021-11-30 07:37:00,07-15-上野-普通,4.5,尾久/池袋
215,785,上野,2021-11-30 00:28:00,,07-15-上野-普通,5.0,上野/新宿
216,144,大宮(埼玉),2021-11-30 00:00:00,2021-11-30 07:22:00,07-23-熱海-普通,0.0,大宮(埼玉)
217,145,さいたま新都心,2021-11-30 00:04:00,2021-11-30 07:26:00,07-23-熱海-普通,1.0,さいたま新都心
218,146,浦和,2021-11-30 00:08:00,2021-11-30 07:30:00,07-23-熱海-普通,2.0,浦和
219,2153,浦和,2021-11-30 00:09:00,2021-11-30 07:31:00,07-23-熱海-普通,2.5,浦和
220,147,赤羽,2021-11-30 00:17:00,2021-11-30 07:39:00,07-23-熱海-普通,3.0,赤羽
221,2154,赤羽,2021-11-30 00:18:00,2021-11-30 07:40:00,07-23-熱海-普通,3.5,赤羽
222,148,尾久,2021-11-30 00:23:00,2021-11-30 07:45:00,07-23-熱海-普通,4.0,尾久/池袋
223,149,上野,2021-11-30 00:30:00,2021-11-30 07:52:00,07-23-熱海-普通,5.0,上野/新宿
224,2155,上野,2021-11-30 00:31:00,2021-11-30 07:53:00,07-23-熱海-普通,5.5,上野/新宿
225,150,東京,2021-11-30 00:36:00,2021-11-30 07:58:00,07-23-熱海-普通,6.0,東京/渋谷
226,2156,東京,2021-11-30 00:37:00,2021-11-30 07:59:00,07-23-熱海-普通,6.5,東京/渋谷
227,151,新橋,2021-11-30 00:40:00,2021-11-30 08:02:00,07-23-熱海-普通,7.0,新橋/恵比寿
228,152,品川,2021-11-30 00:46:00,2021-11-30 08:08:00,07-23-熱海-普通,8.0,品川/大崎
229,2157,品川,2021-11-30 00:47:00,2021-11-30 08:09:00,07-23-熱海-普通,8.5,品川/大崎
230,153,川崎,2021-11-30 00:56:00,2021-11-30 08:18:00,07-23-熱海-普通,9.0,川崎/武蔵小杉
231,2158,川崎,2021-11-30 00:57:00,2021-11-30 08:19:00,07-23-熱海-普通,9.5,川崎/武蔵小杉
232,154,横浜,2021-11-30 01:05:00,2021-11-30 08:27:00,07-23-熱海-普通,10.0,横浜
233,2159,横浜,2021-11-30 01:06:00,2021-11-30 08:28:00,07-23-熱海-普通,10.5,横浜
